station_la,station_lo,Date,Turbidity_,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDSSI,NDTI,NDWI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
20.047791,99.4049339,2025-03-01,171.0,0.058,0.0493,0.0632,0.0598,0.0784,0.12219999730587006,0.1586,0.1684,0.1164,0.1149,0.0865,0.0793,0.1026,0.3182308423043435,0,0,0,0.0,0,0.2941656466748266,0.12962964046783845,0.17105892557127472,,,0,0.0005,0.0081,0.0126,0.0161,0.1747
20.047791,99.4049339,2025-04-01,82.8,0.0757,0.0707,0.2222,0.1465,0.0818,0.12039999663829803,0.1544,0.1928,0.1932,0.2012,0.2396,0.2311,0.206,-0.2971395340355999,0,0,0,0.0,0,-0.216243654822335,0.12372636018061545,-0.331111123541108,,,0,0.0005,0.0082,0.0123,0.0157,0.1909
20.047791,99.4049339,2025-05-13,468.0,0.0241,0.0781,0.1102,0.088,0.0776,0.11420000344514847,0.1388,0.1519,0.114,0.12,0.085,0.1029,0.1511,0.0178253270220034,0,0,0,0.0,0,0.24039320822162646,0.09723318663979752,0.14658636014124843,,,0,0.0005,0.008,0.0115,0.0141,0.3465
20.047791,99.4049339,2025-05-27,1190.0,0.023,0.065,0.0393,0.0253,0.0695,0.10859999805688858,0.144,0.1602,0.1052,0.1102,0.0901,0.0837,0.1121,0.4685598307461294,0,0,0,0.0,0,0.2302434856898761,0.14014252658520962,0.09310517482537649,,,0,0.0005,0.0073,0.0111,0.0148,0.4349
20.047791,99.4049339,2025-06-09,436.0,0.0291,0.0677,0.0694,0.048,0.0777,0.11800000071525574,0.1554,0.172,0.1062,0.1132,0.0871,0.0854,0.1109,0.25933831659425033,0,0,0,0.0,0,0.2816494845360825,0.1367959004641559,0.150658218466585,,,0,0.0005,0.0079,0.012,0.0157,0.5086
20.047791,99.4049339,2025-07-01,1422.0,0.0152,0.0793,0.0383,0.0251,0.0938,0.1363999992609024,0.1758,0.185,0.1365,0.1474,0.1204,0.1067,0.1117,0.5615340565308007,0,0,0,0.0,0,0.187035786630655,0.12620115577313445,0.06230529325137112,,,0,0.0003,0.0096,0.0139,0.0179,0.4609
20.047791,99.4049339,2025-07-21,1686.0,0.0152,0.0793,0.0383,0.0251,0.0938,0.1363999992609024,0.1758,0.185,0.1365,0.1474,0.1204,0.1067,0.1117,0.5615340565308007,0,0,0,0.0,0,0.187035786630655,0.12620115577313445,0.06230529325137112,,,0,0.0003,0.0096,0.0139,0.0179,0.4609
20.047791,99.4049339,2025-08-18,318.0,0.0291,0.0553,0.0253,0.0191,0.0695,0.11400000005960464,0.1716,0.1884,0.1465,0.1658,0.146,0.1349,0.1497,0.6367552047498283,0,0,0,0.0,0,0.08060453400503782,0.20168067201811715,-0.12307692281945919,,,0,0.0005,0.0071,0.0116,0.0175,0.4516
20.047791,99.4049339,2025-09-01,435.0,0.0291,0.0553,0.0253,0.0191,0.0695,0.11400000005960464,0.1716,0.1884,0.1465,0.1658,0.146,0.1349,0.1497,0.6367552047498283,0,0,0,0.0,0,0.08060453400503782,0.20168067201811715,-0.12307692281945919,,,0,0.0005,0.0071,0.0116,0.0175,0.4516
20.047791,99.4049339,2025-09-22,175.0,0.0208,0.0687,0.0179,0.0109,0.0756,0.1151999980211258,0.1498,0.1545,0.0851,0.0904,0.0631,0.0605,0.056,0.7310292972782931,0,0,0,0.0,0,0.4072334429309535,0.13056604617829426,0.2922041424529503,,,0,0.0006,0.0075,0.0118,0.0153,0.433
