River,Amount,Station (New),Location,Lat,Long,Year,Month,Date,Time,Depth(m),Temp(a),Temp(w),pH,tur(NTU),Cond(µS),Sal(ppt),SS(mg/l),TS(mg/l),TDS(mg/l),Cd(mg/L),Cr6+(mg/L),Mn(mg/L),Ni(mg/L),Pb(mg/L),Zn(mg/L),Cu(mg/L),Hg(mg/L),As(mg/L),Cr(mg/L),"Cyanide
(mg/L)"
Kok,4//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,May,27-30 May  2025,11:00,2,28,26.5,7.82,1190,87.8,0,,,,<0.001,,0.79,0.017,0.044,<0.10,0.016,<0.0005,0.017,0.031,
Kok,5//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Jun,9-13 Jun  2025,15:03,1,29,29.1,7.88,436,100.1,0,,,,<0.001,,0.34,<0.010,0.032,<0.10,0.012,<0.0005,0.022,0.017,
Kok,6//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Jun,23-27 Jun  2025,16:00,1.5,25,27.6,7.68,1720,89.5,0,,,,<0.001,,0.97,0.019,0.07,<0.10,0.025,<0.0005,0.028,0.041,
Kok,7//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Jul,30 Jun-4 Jul 2025,17:05,2,30,26.9,7.5,1422,74,0,,,,<0.001,,0.88,0.023,0.04,<0.10,0.02,<0.0005,0.015,0.043,
Kok,8//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Jul,21-25 Jul 2025,11:03,5,29,25.5,7.37,1686,60.7,0,,,,<0.001,,0.96,0.033,0.068,<0.10,0.026,<0.0005,0.029,0.069,
Kok,9//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Aug,4-8 Aug 2025,14:55,3,34,27.5,6.7,533,102.1,0,,,,<0.001,,0.44,0.012,0.017,<0.10,0.011,<0.0005,<0.010,0.022,
Kok,10//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Aug,18-22 Aug 2025,15:05,3.5,36,31.1,7.59,318,99.6,0,,,,<0.001,,0.32,<0.010,0.016,<0.10,<0.010,<0.0005,<0.010,0.021,
Kok,11//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Sep,1-4 Sep  2025,13:15,4,30,27.3,7.38,435,88.1,0,,,,<0.001,,0.39,0.012,0.016,<0.10,<0.010,<0.0005,0.01,0.024,
Kok,12//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Sep,22- 26 Sep  2025,15:02,1.5,30,27.4,7.04,175,89.2,0,,,,<0.001,,0.23,<0.010,0.011,<0.10,<0.010,<0.0005,<0.010,0.014,
Kok,13//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Nov,4-7 Nov 2025,15:03,1.5,27,24.5,7.72,360,88.9,0,,,,<0.001,,0.2,<0.010,0.013,<0.10,<0.010,<0.0005,0.01,0.01,
Kok,14//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Dec,9-12 Dec 2025,16:39,1,28,22.7,7.69,142,98.4,0,,,,<0.001,,0.15,<0.010,0.014,<0.10,<0.010,<0.0005,0.011,<0.010,
Kok,1//68,KK03,"Ban Mae Salak Two-Territory Bridge, Ban Mai Mok Jam, Tha Ton, Mae Ai, Chiang Mai",20.0396223,99.4767091,2025,Mar,Mar,,,,,7.58,139,125,,138,224,86,<0.001,,0.16,<0.010,0.013,<0.10,<0.010,<0.002,0.013,<0.01,<0.005
